At,Heartrate
25.05.2023 10:36:16,94
25.05.2023 10:36:18,95
25.05.2023 10:36:19,94
25.05.2023 10:36:24,96
25.05.2023 10:36:25,97
25.05.2023 10:36:27,95
25.05.2023 10:36:28,94
25.05.2023 10:36:29,93
25.05.2023 10:36:31,91
25.05.2023 10:36:32,90
25.05.2023 10:36:37,90
25.05.2023 10:36:42,89
25.05.2023 10:36:44,88
25.05.2023 10:36:49,88
25.05.2023 10:36:54,88
25.05.2023 10:36:57,89
25.05.2023 10:37:02,91
25.05.2023 10:37:07,91
25.05.2023 10:37:12,92
25.05.2023 10:37:15,91
25.05.2023 10:37:16,90
25.05.2023 10:37:17,91
25.05.2023 10:37:19,92
25.05.2023 10:37:21,93
25.05.2023 10:37:24,94
25.05.2023 10:37:29,94
25.05.2023 10:37:34,94
25.05.2023 10:37:40,94
25.05.2023 10:37:41,95
25.05.2023 10:37:45,96
25.05.2023 10:37:46,97
25.05.2023 10:37:47,95
25.05.2023 10:37:49,94
25.05.2023 10:37:55,96
25.05.2023 10:38:04,106
25.05.2023 10:38:06,107
25.05.2023 10:45:26,71
25.05.2023 10:45:26,71
25.05.2023 10:45:28,70
25.05.2023 10:45:28,70
25.05.2023 10:45:32,69
25.05.2023 10:45:32,69
25.05.2023 10:45:35,70
25.05.2023 10:45:35,70
25.05.2023 10:45:39,73
25.05.2023 10:45:39,73
25.05.2023 10:45:41,74
25.05.2023 10:45:41,74
25.05.2023 10:45:46,74
25.05.2023 10:45:46,74
25.05.2023 10:45:48,73
25.05.2023 10:45:48,73
25.05.2023 10:45:49,74
25.05.2023 10:45:49,74
25.05.2023 10:45:50,75
25.05.2023 10:45:50,75
25.05.2023 10:45:53,76
25.05.2023 10:45:53,76
25.05.2023 10:45:57,78
25.05.2023 10:45:57,78
25.05.2023 10:45:58,79
25.05.2023 10:45:58,79
25.05.2023 10:45:59,80
25.05.2023 10:45:59,80
25.05.2023 10:46:05,81
25.05.2023 10:46:05,81
25.05.2023 10:46:10,81
25.05.2023 10:46:10,81
25.05.2023 10:46:11,82
25.05.2023 10:46:11,82
25.05.2023 10:46:14,81
25.05.2023 10:46:14,81
25.05.2023 10:46:15,80
25.05.2023 10:46:15,80
25.05.2023 10:46:16,78
25.05.2023 10:46:16,78
25.05.2023 10:46:18,80
25.05.2023 10:46:18,80
25.05.2023 10:46:23,80
25.05.2023 10:46:23,80
25.05.2023 10:46:27,81
25.05.2023 10:46:27,81
25.05.2023 10:46:32,80
25.05.2023 10:46:32,80
25.05.2023 10:46:36,79
25.05.2023 10:46:36,79
25.05.2023 10:46:41,80
25.05.2023 10:46:41,80
25.05.2023 10:46:45,79
25.05.2023 10:46:45,79
25.05.2023 10:46:49,80
25.05.2023 10:46:49,80
25.05.2023 10:46:54,80
25.05.2023 10:46:54,80
25.05.2023 10:46:55,81
25.05.2023 10:46:55,81
25.05.2023 10:46:57,82
25.05.2023 10:46:57,82
25.05.2023 10:46:59,83
25.05.2023 10:46:59,83
25.05.2023 10:47:03,84
25.05.2023 10:47:03,84
25.05.2023 10:47:06,85
25.05.2023 10:47:06,85
25.05.2023 10:47:07,86
25.05.2023 10:47:07,86
25.05.2023 10:47:08,88
25.05.2023 10:47:08,88
25.05.2023 10:47:10,86
25.05.2023 10:47:10,86
25.05.2023 10:47:11,85
25.05.2023 10:47:11,85
25.05.2023 10:47:15,86
25.05.2023 10:47:15,86
25.05.2023 10:47:16,88
25.05.2023 10:47:16,88
25.05.2023 10:47:19,87
25.05.2023 10:47:19,87
25.05.2023 10:47:20,86
25.05.2023 10:47:20,86
25.05.2023 10:47:25,86
25.05.2023 10:47:25,86
25.05.2023 10:47:26,88
25.05.2023 10:47:26,88
25.05.2023 10:47:28,86
25.05.2023 10:47:28,86
25.05.2023 10:47:29,85
25.05.2023 10:47:29,85
25.05.2023 10:47:32,84
25.05.2023 10:47:32,84
25.05.2023 10:47:36,83
25.05.2023 10:47:36,83
25.05.2023 10:47:38,84
25.05.2023 10:47:38,84
25.05.2023 10:47:39,85
25.05.2023 10:47:39,85
25.05.2023 10:47:41,87
25.05.2023 10:47:41,87
25.05.2023 10:47:42,86
25.05.2023 10:47:42,86
25.05.2023 10:47:45,85
25.05.2023 10:47:45,85
25.05.2023 10:47:46,84
25.05.2023 10:47:46,84
25.05.2023 10:47:47,83
25.05.2023 10:47:47,83
25.05.2023 10:47:52,83
25.05.2023 10:47:52,83
25.05.2023 10:47:55,82
25.05.2023 10:47:55,82
25.05.2023 10:47:58,83
25.05.2023 10:47:58,83
25.05.2023 10:48:03,83
25.05.2023 10:48:03,83
25.05.2023 10:48:04,82
25.05.2023 10:48:04,82
25.05.2023 10:48:07,80
25.05.2023 10:48:07,80
25.05.2023 10:48:12,80
25.05.2023 10:48:12,80
25.05.2023 10:48:15,82
25.05.2023 10:48:15,82
25.05.2023 10:48:17,83
25.05.2023 10:48:17,83
25.05.2023 10:48:20,84
25.05.2023 10:48:20,84
25.05.2023 10:48:22,85
25.05.2023 10:48:22,85
25.05.2023 10:48:26,87
25.05.2023 10:48:26,87
25.05.2023 10:48:28,88
25.05.2023 10:48:28,88
25.05.2023 10:48:30,89
25.05.2023 10:48:30,89
25.05.2023 10:48:31,88
25.05.2023 10:48:31,88
25.05.2023 10:48:33,86
25.05.2023 10:48:33,86
25.05.2023 10:48:37,88
25.05.2023 10:48:37,88
25.05.2023 10:48:38,89
25.05.2023 10:48:38,89
25.05.2023 10:48:43,89
25.05.2023 10:48:43,89
25.05.2023 10:48:44,88
25.05.2023 10:48:44,88
25.05.2023 10:48:47,87
25.05.2023 10:48:47,87
25.05.2023 10:48:48,85
25.05.2023 10:48:48,85
25.05.2023 10:48:50,84
25.05.2023 10:48:50,84
25.05.2023 10:48:51,83
25.05.2023 10:48:51,83
25.05.2023 10:48:52,82
25.05.2023 10:48:52,82
25.05.2023 10:48:55,83
25.05.2023 10:48:55,83
25.05.2023 10:48:56,84
25.05.2023 10:48:56,84
25.05.2023 10:48:57,85
25.05.2023 10:48:57,85
25.05.2023 10:49:03,85
25.05.2023 10:49:03,85
25.05.2023 10:49:07,84
25.05.2023 10:49:07,84
25.05.2023 10:49:12,85
25.05.2023 10:49:12,85
25.05.2023 10:49:13,84
25.05.2023 10:49:13,84
25.05.2023 10:49:18,84
25.05.2023 10:49:18,84
25.05.2023 10:49:20,85
25.05.2023 10:49:20,85
25.05.2023 10:49:22,86
25.05.2023 10:49:22,86
25.05.2023 10:49:25,88
25.05.2023 10:49:25,88
25.05.2023 10:49:27,89
25.05.2023 10:49:27,89
25.05.2023 10:49:29,91
25.05.2023 10:49:29,91
25.05.2023 10:49:30,93
25.05.2023 10:49:30,93
25.05.2023 10:49:31,94
25.05.2023 10:49:31,94
25.05.2023 10:49:36,94
25.05.2023 10:49:36,94
